id,NAME,YEAR,REQUIRE,CATEGORY,TERM
94,Chi tiết máy ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",10
95,Năng lượng tái tạo ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",10
96,Lịch sử Đảng Cộng sản Việt Nam,4,1,Đại cương,11
97,Thiết kế hệ thống nhúng ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
98,Kỹ thuật điện ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
99,Vẽ kỹ thuật ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
100,Thiết kế để kiểm tra vi mạch ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
101,Lập trình shell và quản trị Linux cơ bản,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
102,Thiết kế vật lý vi mạch bán dẫn ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
103,Điều khiển học ,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
104,Phát triển ứng dụng IoT,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
105,Thiết kế hệ thống trên chip (SoC),4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
106,Điện tử công suất,4,0,"Kỹ thuật điện tử, máy tính và robot thông minh",11
107,Khóa luận tốt nghiệp,4,1,,12
